name,smiles,source,ROMol,hbondd_HIS_268_A,hydroph_PHE_267_A,hydroph_LEU_328_A,hydroph_ASP_339_A,hydroph_LYS_196_A,hydroph_VAL_204_A,hbonda_ALA_266_A,hbonda_LYS_325_A,hydroph_ALA_197_A,hydroph_ALA_215_A,hydroph_THR_265_A,hydroph_LYS_325_A,hydroph_LYS_217_A,hydroph_LEU_245_A,hbonda_HIS_268_A,saltbridge_ASP_339_A,hbondd_LYS_323_A,hbonda_ASP_339_A,pication_LYS_325_A,hydroph_PHE_201_A,hbondd_SER_272_A,hbondd_ASN_326_A,hbondd_LYS_325_A,hydroph_ALA_338_A,hbondd_LYS_278_A,hbonda_ASP_275_A,hydroph_THR_274_A,saltbridge_ASP_275_A,hbonda_ASN_326_A,hbondd_LYS_196_A,hbondd_ASP_339_A,hbonda_LYS_196_A,hbonda_GLU_230_A,saltbridge_LYS_325_A,hbondd_ARG_198_A,hbonda_SER_272_A,saltbridge_GLU_230_A,hbondd_THR_265_A,hbonda_ASP_321_A,hbonda_ARG_198_A,hbondd_ARG_200_A,hbondd_LYS_217_A,saltbridge_GLU_194_A,hydroph_GLU_194_A,cluster
B4B_5OXG,c1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)c2cccnc2c1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43f840>,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6
UIAR_VINA,C[C@]12O[C@H](C[C@@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e180>,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4
C9U_6JUX,CCn1cc(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)c(-c2cccnc2)n1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e1f0>,True,True,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
H8H_6ZGC,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e3b0>,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10
XQX_8UWR,O=C(C1CC1)N1CCN(c2ccnn3cc(-c4ccc(N5CCNCC5)cc4)cc23)CC1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e260>,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4
LDN_3Q4U,c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43fa70>,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6
OUKY_VINA,C[NH+]1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e7a0>,False,True,True,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10
MSZ_6SZM,COc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2C)cc(OC)c1OC,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e570>,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5
MFAQ_VINA,CC(C)n1nc(-c2cc3cc([O-])ccc3[nH]2)c2c(N)ncnc21,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43eea0>,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
JUUF_VINA,Cc1nc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2o1,SDF poses,<rdkit.Chem.rdchem.Mol object at 0x30a43e880>,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
